timestamp, x, y, z
2024-06-25 13:21:05.188146,120.4,974.1,120.4
2024-06-25 13:21:05.389970,116.5,970.2,116.5
2024-06-25 13:21:05.592640,116.5,970.2,116.5
2024-06-25 13:21:05.795427,120.4,974.1,120.4
2024-06-25 13:21:05.997705,124.4,974.1,124.4
2024-06-25 13:21:06.200637,124.4,974.1,124.4
2024-06-25 13:21:06.401897,120.4,974.1,120.4
2024-06-25 13:21:06.604336,120.4,974.1,120.4
2024-06-25 13:21:06.806173,128.20000000000002,974.1,128.20000000000002
2024-06-25 13:21:07.768501,124.4,974.1,124.4
2024-06-25 13:21:07.970614,120.4,977.9000000000001,120.4
2024-06-25 13:21:08.172832,120.4,977.9000000000001,120.4
2024-06-25 13:21:08.375918,120.4,974.1,120.4
2024-06-25 13:21:08.577763,120.4,974.1,120.4
2024-06-25 13:21:08.780350,120.4,974.1,120.4
2024-06-25 13:21:08.982558,120.4,974.1,120.4
2024-06-25 13:21:09.185527,124.4,974.1,124.4
2024-06-25 13:21:09.387511,124.4,974.1,124.4
2024-06-25 13:21:09.589702,120.4,974.1,120.4
2024-06-25 13:21:09.791602,120.4,974.1,120.4
2024-06-25 13:21:09.993943,120.4,974.1,120.4
2024-06-25 13:21:10.196493,120.4,977.9000000000001,120.4
2024-06-25 13:21:10.398914,120.4,977.9000000000001,120.4
2024-06-25 13:21:10.601382,120.4,974.1,120.4
2024-06-25 13:21:10.803246,124.4,970.2,124.4
2024-06-25 13:21:11.004340,124.4,970.2,124.4
2024-06-25 13:21:11.205510,124.4,970.2,124.4
2024-06-25 13:21:11.408074,124.4,970.2,124.4
2024-06-25 13:21:11.610831,120.4,974.1,120.4
2024-06-25 13:21:11.812757,120.4,970.2,120.4
2024-06-25 13:21:12.013646,120.4,970.2,120.4
2024-06-25 13:21:12.215763,120.4,970.2,120.4
2024-06-25 13:21:12.418187,128.20000000000002,974.1,128.20000000000002
2024-06-25 13:21:12.620578,128.20000000000002,974.1,128.20000000000002
2024-06-25 13:21:12.823035,116.5,974.1,116.5
2024-06-25 13:21:13.025679,124.4,977.9000000000001,124.4
2024-06-25 13:21:13.228321,124.4,977.9000000000001,124.4
2024-06-25 13:21:13.430548,120.4,974.1,120.4
2024-06-25 13:21:13.632841,120.4,974.1,120.4
2024-06-25 13:21:13.834415,120.4,970.2,120.4
2024-06-25 13:21:14.036867,116.5,977.9000000000001,116.5
2024-06-25 13:21:14.239233,116.5,977.9000000000001,116.5
2024-06-25 13:21:14.441280,120.4,974.1,120.4
2024-06-25 13:21:14.643260,124.4,970.2,124.4
2024-06-25 13:21:14.846479,124.4,970.2,124.4
2024-06-25 13:21:15.048675,120.4,974.1,120.4
2024-06-25 13:21:15.250939,120.4,974.1,120.4
2024-06-25 13:21:15.453365,120.4,977.9000000000001,120.4
2024-06-25 13:21:15.655802,128.20000000000002,974.1,128.20000000000002
2024-06-25 13:21:15.857583,128.20000000000002,974.1,128.20000000000002
2024-06-25 13:21:16.059451,120.4,977.9000000000001,120.4
2024-06-25 13:21:16.262090,124.4,974.1,124.4
2024-06-25 13:21:16.464625,124.4,974.1,124.4
2024-06-25 13:21:16.667365,132.1,974.1,132.1
2024-06-25 13:21:16.869847,120.4,970.2,120.4
2024-06-25 13:21:17.071349,120.4,970.2,120.4
2024-06-25 13:21:17.273494,124.4,974.1,124.4
2024-06-25 13:21:17.476264,124.4,974.1,124.4
2024-06-25 13:21:17.678703,120.4,970.2,120.4
2024-06-25 13:21:17.880999,124.4,977.9000000000001,124.4
2024-06-25 13:21:18.082198,124.4,977.9000000000001,124.4
2024-06-25 13:21:18.284170,120.4,974.1,120.4
2024-06-25 13:21:18.486465,124.4,966.4000000000001,124.4
2024-06-25 13:21:18.688524,124.4,966.4000000000001,124.4
2024-06-25 13:21:18.890995,124.4,977.9000000000001,124.4
2024-06-25 13:21:19.092784,124.4,977.9000000000001,124.4
2024-06-25 13:21:19.295373,120.4,977.9000000000001,120.4
2024-06-25 13:21:19.497936,120.4,974.1,120.4
2024-06-25 13:21:19.700053,120.4,974.1,120.4
2024-06-25 13:21:19.902396,124.4,974.1,124.4
2024-06-25 13:21:20.104152,124.4,977.9000000000001,124.4
2024-06-25 13:21:20.305969,124.4,977.9000000000001,124.4
2024-06-25 13:21:20.508324,132.1,970.2,132.1
2024-06-25 13:21:20.710871,120.4,970.2,120.4
2024-06-25 13:21:20.913329,120.4,970.2,120.4
2024-06-25 13:21:21.115270,120.4,966.4000000000001,120.4
2024-06-25 13:21:21.316458,120.4,966.4000000000001,120.4
2024-06-25 13:21:21.519181,128.20000000000002,977.9000000000001,128.20000000000002
2024-06-25 13:21:21.721647,120.4,974.1,120.4
2024-06-25 13:21:21.924352,120.4,974.1,120.4
2024-06-25 13:21:22.126697,120.4,974.1,120.4
2024-06-25 13:21:22.328558,120.4,974.1,120.4
2024-06-25 13:21:22.530964,120.4,974.1,120.4
2024-06-25 13:21:22.733382,124.4,974.1,124.4
2024-06-25 13:21:22.935505,124.4,974.1,124.4
